2.850911    1.000000 0.000000 0.000000     150.000000 15.316768 25.999999
2.850900    -1.000000 0.000000 0.000000     -150.000000 15.316767 34.000002
438.016588    -0.000000 0.987688 0.156435     -11.666667 16.305157 21.759547
438.016588    0.000000 0.987688 0.156435     11.666667 15.652576 25.879775
438.016532    0.000000 0.987688 -0.156434     -11.666667 15.652575 34.120229
438.016532    0.000000 0.987688 -0.156434     11.666667 16.305154 38.240456
438.016532    0.000000 0.987688 -0.156434     -81.666667 15.652575 34.120229
438.016532    0.000000 0.987688 -0.156434     -58.333333 16.305154 38.240456
438.016588    -0.000000 0.987688 0.156435     -81.666667 16.305157 21.759547
438.016588    0.000000 0.987688 0.156435     -58.333333 15.652576 25.879775
438.016478    -0.000000 0.891007 0.453990     -81.666667 20.745457 10.205500
438.016478    0.000000 0.891007 0.453990     -58.333333 18.851597 13.922410
438.016478    -0.000000 0.891007 0.453990     -11.666667 20.745457 10.205500
438.016478    0.000000 0.891007 0.453990     11.666667 18.851597 13.922410
438.016478    -0.000000 0.891007 0.453990     58.333333 20.745457 10.205500
438.016478    0.000000 0.891007 0.453990     81.666667 18.851597 13.922410
438.016588    -0.000000 0.987688 0.156435     58.333333 16.305157 21.759547
438.016588    0.000000 0.987688 0.156435     81.666667 15.652576 25.879775
438.016532    0.000000 0.987688 -0.156434     58.333333 15.652575 34.120229
438.016532    0.000000 0.987688 -0.156434     81.666667 16.305154 38.240456
438.016573    0.000000 0.891006 -0.453991     58.333333 18.851594 46.077593
438.016573    0.000000 0.891006 -0.453991     81.666667 20.745456 49.794504
438.016573    0.000000 0.891006 -0.453991     -11.666667 18.851594 46.077593
438.016573    0.000000 0.891006 -0.453991     11.666667 20.745456 49.794504
438.016573    0.000000 0.891006 -0.453991     -81.666667 18.851594 46.077593
438.016573    0.000000 0.891006 -0.453991     -58.333333 20.745456 49.794504
65.702691    0.000000 0.707107 -0.707107     -136.879837 24.213106 55.085203
9.413790    0.000001 0.707107 -0.707106     -106.879837 24.213106 55.085204
75.116473    0.000000 0.707107 -0.707107     -121.879837 23.426211 54.298308
139.176115    0.000000 0.891006 -0.453991     -135.000000 21.703248 51.674276
281.582083    0.000000 0.891006 -0.453991     -120.000000 19.809387 47.957366
142.405967    0.000000 0.891006 -0.453991     -135.000000 17.915525 44.240455
112.825352    0.000000 0.987688 -0.156434     -135.000000 16.696255 40.709775
281.582056    0.000000 0.987688 -0.156434     -120.000000 16.043676 36.589548
32.073962    -0.000000 0.987688 -0.156435     -135.000000 15.707866 34.469320
136.682639    0.000000 0.987688 -0.156434     -135.000000 15.316766 32.000003
